time,frequency,midi
1.250000000000000069e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-02,2.831858407079645872e+02,6.100000000000000000e+01
8.749999999999999445e-02,2.831858407079645872e+02,6.100000000000000000e+01
1.125000000000000028e-01,2.831858407079645872e+02,6.100000000000000000e+01
1.375000000000000111e-01,2.831858407079645872e+02,6.100000000000000000e+01
1.625000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.124999999999999944e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.374999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.874999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.624999999999999889e-01,2.666666666666666856e+02,6.000000000000000000e+01
3.875000000000000111e-01,2.689075630252100950e+02,6.000000000000000000e+01
4.124999999999999778e-01,2.689075630252100950e+02,6.000000000000000000e+01
4.375000000000000000e-01,2.666666666666666856e+02,6.000000000000000000e+01
4.625000000000000222e-01,2.666666666666666856e+02,6.000000000000000000e+01
4.874999999999999889e-01,2.644628099173553437e+02,6.000000000000000000e+01
5.124999999999999556e-01,2.666666666666666856e+02,6.000000000000000000e+01
5.374999999999999778e-01,2.666666666666666856e+02,6.000000000000000000e+01
5.625000000000000000e-01,2.666666666666666856e+02,6.000000000000000000e+01
5.875000000000000222e-01,2.644628099173553437e+02,6.000000000000000000e+01
6.125000000000000444e-01,2.644628099173553437e+02,6.000000000000000000e+01
6.374999999999999556e-01,2.666666666666666856e+02,6.000000000000000000e+01
6.624999999999999778e-01,2.666666666666666856e+02,6.000000000000000000e+01
6.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.125000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.375000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.624999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.874999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.375000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.625000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
